ID,Fhat3
CroCro_0473,0.0468553
CroCro_0474,8.69937e-4
CroCro_0475,0.00153306
CroCro_0476,-0.0197146
CroCro_0477,0.0130682
CroCro_0478,0.00904385
CroCro_0479,0.0154
CroCro_0480,-0.0199919
CroCro_0481,-0.0306676
CroCro_0482,0.00199321
CroCro_0483,-0.0125297
CroCro_0484,-0.0210597
CroCro_0485,-0.0239956
CroCro_0486,0.0366217
CroCro_0487,-0.0417563
CroCro_0488,0.0102181
CroCro_0489,0.0141853
CroCro_0490,-0.0150305
CroCro_0491,0.0100585
CroCro_0492,-0.0113784
CroCro_0493,0.0309243
CroCro_0494,6.73595e-4
CroCro_0495,-0.00698224
CroCro_0496,0.0205174
F-276,0.0319572
CroCro_0498,0.0136298
CroCro_0499,-0.0103848
CroCro_0500,0.0103273
CroCro_0501,-0.0184973
CroCro_0502,0.0353435
CroCro_0503,0.0411176
CroCro_0504,0.0315965
CroCro_0505,-0.0152011
CroCro_0506,0.00346889
CroCro_0507,-0.0190469
CroCro_0508,-0.0350872
L-002,-0.026826
L-004,-0.043183
L-005,-0.00531725
L-008,-0.0256657
L-009,0.0490989
CroCro_0514,0.0023475
L-011,0.0511229
CroCro_0516,-0.0134136
CroCro_0517,-0.0273358
L-014,0.010329
L-015,0.00178856
CroCro_0524,-0.00804651
CroCro_0525,0.0020213
L-082,-0.0125043
L-083,0.00538237
CroCro_0528,0.0791252
CroCro_0529,0.00288461
L-087,-0.0293464
CroCro_0531,-0.00303858
CroCro_0532,0.00183749
L-093,-0.0018333
CroCro_0534,-0.0127523
CroCro_0535,-0.0165883
L-097,0.00211597
CroCro_0537,-0.0212218
L-101,-0.0207274
L-102,-0.0373332
CroCro_0540,-0.0113996
CroCro_0541,-0.0200471
CroCro_0542,-0.0138288
CroCro_0543,-0.00988755
CroCro_0544,-0.0433106
L-123,-0.0257445
L-125,-0.0258107
L-126,0.00878969
CroCro_0548,-0.0457923
L-128,-0.00409782
CroCro_0550,-0.00374209
CroCro_0551,-0.0166572
L-133,-0.0155173
CroCro_0553,-0.0227414
L-135,0.0293168
CroCro_0555,0.0239511
L-137,-0.0170729
CroCro_0557,-0.0222749
CroCro_0558,-0.0154587
CroCro_0559,-0.0138261
CroCro_0560,-0.0439992
CroCro_0561,-0.0180638
CroCro_0562,0.00197492
L-148,-0.0296844
CroCro_0564,-0.0158917
CroCro_0565,0.0152635
L-151,-0.0145562
CroCro_0567,3.03044e-4
CroCro_0568,-0.0228515
CroCro_0569,-0.00817414
L-158,0.00318554
L-159,-0.0209388
CroCro_0572,-0.0182614
L-161,0.00140304
CroCro_0574,0.0495613
CroCro_0575,0.0114527
CroCro_0576,-0.0141125
L-165,-0.00680307
CroCro_0578,-0.0020143
L-170,0.035632
L-172,0.00908037
L-173,-0.0313119
CroCro_0582,-0.019438
CroCro_0583,-0.0464866
CroCro_0584,-0.0332512
L-182,-0.0145272
CroCro_0586,-0.00462303
L-187,-0.0294616
CroCro_0588,-0.00180215
CroCro_0589,-0.0384164
CroCro_0590,-0.0343474
CroCro_0591,-0.0343473
CroCro_0592,0.00572861
L-202,-0.0440321
CroCro_0594,-0.0152001
CroCro_0595,-0.0074685
CroCro_0596,-0.0201838
L-218,-0.0402674
L-219,-0.0195472
L-221,-7.15164e-4
CroCro_0600,0.0193989
CroCro_0601,0.0483427
L-227,-0.0104061
L-228,-0.0170613
CroCro_0604,-0.0155007
L-243,-0.0226885
L-245,-0.0125726
CroCro_0607,-0.0196824
CroCro_0608,0.023293
CroCro_0609,-0.0146072
CroCro_0610,-0.0176197
CroCro_0611,-0.0451553
CroCro_0612,-0.0339948
L-261,-0.00193852
CroCro_0614,-0.0148964
CroCro_0615,0.030835
CroCro_0616,-0.00118728
CroCro_0617,-0.0355683
CroCro_0618,0.00468713
CroCro_0619,-0.0262388
CroCro_0620,-0.0246011
CroCro_0621,-0.00624852
CroCro_0622,-0.0297857
L-288,-0.0386503
CroCro_0624,-4.02244e-4
L-290,0.0435827
CroCro_0626,-0.00926801
L-296,-0.0368865
CroCro_0628,-0.0255529
CroCro_0629,-0.0360458
CroCro_0630,-0.0233835
L-303,-0.0297873
CroCro_0632,0.00165789
CroCro_0633,-0.0239957
CroCro_0634,0.00492864
CroCro_0635,-8.70377e-4
CroCro_0636,-0.0121966
CroCro_0637,0.00568673
L-315,-0.0063117
CroCro_0639,-0.0374801
CroCro_0640,-0.00722984
CroCro_0641,0.0276987
CroCro_0642,-0.0101931
CroCro_0643,0.0124869
CroCro_0644,0.0087724
CroCro_0645,-0.00231556
L-339,-0.00887008
CroCro_0647,-0.00978093
CroCro_0648,-0.0272077
CroCro_0650,-0.0496961
CroCro_0651,0.0446364
L-355,0.00580158
L-359,-0.0157249
CroCro_0654,-0.0395068
CroCro_0655,-0.00412675
CroCro_0656,-0.0231758
CroCro_0657,0.0381308
CroCro_0658,0.0347665
CroCro_0659,-0.0136102
CroCro_0660,-0.024659
CroCro_0661,-0.0371784
CroCro_0662,-0.0255794
L-401,-0.00352523
CroCro_0664,0.0245952
CroCro_0665,-0.0107681
CroCro_0666,-0.00426614
CroCro_0667,-0.00411849
CroCro_0668,0.0515599
CroCro_0669,0.00308675
CroCro_0670,-0.00430124
CroCro_0671,2.1226e-4
CroCro_0672,-0.00785498
CroCro_0673,-0.00852098
CroCro_0674,0.00705344
CroCro_0675,0.0012606
CroCro_0676,-0.00596229
CroCro_0677,0.0092438
CroCro_0678,-0.0115776
CroCro_0679,-0.0172871
L-485,-0.00328337
CroCro_0681,-0.0136445
